email,order_date,amount
libbie.jenkins@huels.co,2016-01-18,91.79
coralie@renner.name,2015-12-30,41.58
garrick@torphy.biz,2015-12-30,61.06
lacy.wolf@ortizswift.biz,2015-12-17,44.51
bertha@schmeler.com,2015-05-27,42.56
ted@goyette.org,2015-11-05,82.92
karine@quigley.biz,2016-04-26,31.69
bernadine.durgan@leuschke.net,2016-01-10,45.28
annabel@ratke.org,2016-01-15,95.54
myah.zulauf@colehermiston.net,2015-07-28,78.68
gavin@goldner.info,2016-04-17,12.38
lonnie_kohler@turner.io,2016-05-10,25.67
lyda@brekke.org,2015-07-03,35.65
adele.harvey@kochherman.org,2016-03-19,18.76
baron.schuster@ko.io,2016-03-31,33.52
carrie_towne@christiansen.name,2015-08-22,84.46
toy@marks.biz,2016-01-08,10.96
christy.dubuque@gottlieb.net,2016-01-17,42.38
madelyn@volkman.org,2015-11-19,15.86
gust@pfannerstill.name,2016-04-09,98.17
ansel@donnelly.org,2015-06-12,13.45
darian.leuschke@hoppestiedemann.org,2015-05-26,22.71
robyn@dickenshalvorson.org,2015-12-26,42.64
adelle@daugherty.name,2016-03-25,71.58
jackeline.mann@koepp.biz,2015-07-18,85.66
wyatt@anderson.co,2015-09-16,80.53
sebastian@stokescummerata.com,2015-10-01,68.33
macey@maggio.info,2015-12-09,40.13
billy@sanfordjerde.net,2016-04-14,35.07
meagan@kunde.io,2016-03-17,93.74
moses@wintheiser.info,2016-02-15,57.56
conor@hilllboyle.net,2015-12-13,34.03
janick.mosciski@paucek.io,2016-01-06,62.58
laila@schinner.name,2015-12-21,99.77
mortimer@jacobson.io,2015-11-26,52.64
everette.larkin@wuckert.org,2016-03-24,68.63
zena_wisozk@dicki.io,2015-07-07,51.09
jaren_heller@bahringer.biz,2016-05-08,78.69
rhianna_will@cain.name,2015-12-18,72.63
ashlynn@larkincronin.io,2015-07-30,14.61
antoinette@graham.net,2015-07-03,14.39
velma@lubowitzkirlin.info,2016-04-20,73.78
royal.gleichner@kuhn.org,2015-10-19,84.82
wilfrid_carter@bailey.com,2016-04-22,49.86
devonte@lockman.net,2015-11-06,61.82
